Color Pallete: 
1: #ffffff
2: #fe0000
3: #000000
4: #000005
5: #343434
6: #e8e8e8
7: #040500
8: #7e0102
9: #fd0002
10: #7d7d7d
11: #000103
12: #fc3437
13: #fffeff
14: #361514
15: #342524
16: #fcfcfc
17: #959595
18: #fc1b1b
19: #efefef
20: #fc251e
21: #fedfe2
22: #febabb
23: #767676
24: #220005
25: #e00104
26: #2a0000
27: #252525
28: #f2f0ed
29: #a8a8a8
30: #cdcdcd
31: #565656
32: #d4d4d4
33: #2d2d2d
34: #110104
35: #410003
36: #1e0001
37: #d50203
38: #6d0106
39: #b0b0b0
40: #fc4343
41: #fe958f
42: #dfdfdf
43: #4e0100
44: #b40106
45: #fdd5d9
46: #000b0b
47: #fc8789
48: #696969
49: #ffe8e2
50: #610101
51: #cf1814
52: #870103
53: #fd2d2c
54: #c50304
55: #663339
56: #560003
57: #ff6c6c
58: #4b0108
59: #170000
60: #878787
61: #5f5f5f
62: #c2bec2
63: #6f7676
64: #bdd2d3
65: #804648
66: #947370
67: #8f9794
68: #9d9495
69: #4b4b4b
70: #ba0210
71: #000411
72: #550907
73: #5b5253
74: #e9e2e9
75: #dfede8
76: #6c0007
77: #ae000c
78: #443430
79: #de1221
80: #fbc0b5
81: #bd1b26
82: #19332f
83: #d52f33
84: #311c0e
85: #f5d9cc
86: #fa8c93
87: #fa7f7a
88: #f96c73
89: #4b2c2b
90: #4d382c
91: #191919
92: #ea0700
93: #4b241d
94: #98a7a6
95: #9a0204
96: #78282c
97: #6e2e36
98: #c30718
99: #5f5b61
100: #57282f
101: #322a2f
